"","game","subject","first_level_losses","total_losses","first_level_steps","total_steps"
"1","closing_gates_1","r1OKn1upX",0,0,109,275
"2","closing_gates_1","HJj_SkOaX",0,0,276,276
"3","closing_gates_1","H1WZF6DaX",0,0,86,526
"4","closing_gates_1","rkwcKTD6X",0,0,283,497
"5","closing_gates_1","Sy4k9pvpm",0,0,89,466
"6","closing_gates_1","rJFl70Pam",0,0,159,258
"7","closing_gates_1","rylhyCva7",0,0,130,130
"8","closing_gates_1","SkrzcpvTX",0,0,165,165
"9","closing_gates_1","HylsHAPTX",0,0,296,433
"10","closing_gates_1","SJY_Faw6X",0,0,102,224
"11","closing_gates_1","HylaYAwTQ",0,0,83,762
"12","closing_gates_1","HkiJ5TD6Q",0,0,46,46
"13","closing_gates_1","r1rlt0PT7",0,1,87,99
"14","closing_gates_1","rya1tavpm",0,0,191,191
"15","closing_gates_1","H1K8k1d6m",0,0,124,347
"16","closing_gates_1","SyIbokd6Q",0,0,40,625
"17","closing_gates_1","HJhntaP6Q",0,0,135,135
"18","closing_gates_1","SJ5Gt6vaQ",0,0,184,689
"19","closing_gates_1","HJrCn1_Tm",0,0,263,487
"20","closing_gates_1","rkBK8k_T7",0,0,153,532
"21","closing_gates_1","BJCROav6m",0,0,28,245
"22","closing_gates_1","H1rPK6vam",0,0,40,40
"23","closing_gates_1","Hy-EI-O67",0,0,148,276
"24","aliens_2","r1OKn1upX",2,5,240,833
"25","aliens_2","HJj_SkOaX",3,4,166,191
"26","aliens_2","H1WZF6DaX",0,0,298,1014
"27","aliens_2","rkwcKTD6X",2,2,383,957
"28","aliens_2","Sy4k9pvpm",1,3,287,1213
"29","aliens_2","rJFl70Pam",0,1,183,667
"30","aliens_2","rylhyCva7",5,5,414,414
"31","aliens_2","B1c1RTP67",1,1,272,605
"32","aliens_2","SkrzcpvTX",9,9,259,259
"33","aliens_2","HylsHAPTX",1,1,285,860
"34","aliens_2","SJY_Faw6X",0,0,262,822
"35","aliens_2","HylaYAwTQ",1,2,281,779
"36","aliens_2","r1rlt0PT7",1,2,320,1023
"37","aliens_2","H1K8k1d6m",0,0,278,801
"38","aliens_2","SyIbokd6Q",0,0,291,807
"39","aliens_2","HJhntaP6Q",2,2,329,329
"40","aliens_2","SJ5Gt6vaQ",2,2,497,497
"41","aliens_2","HJrCn1_Tm",4,4,258,258
"42","aliens_2","rkBK8k_T7",0,3,195,775
"43","aliens_2","BJCROav6m",0,0,210,807
"44","aliens_2","Hy-EI-O67",8,9,414,759
"45","ee_3","r1OKn1upX",0,1,32,173
"46","ee_3","HJj_SkOaX",0,1,40,302
"47","ee_3","H1WZF6DaX",0,2,38,306
"48","ee_3","rkwcKTD6X",0,1,39,264
"49","ee_3","Sy4k9pvpm",0,2,35,323
"50","ee_3","rJFl70Pam",0,1,30,235
"51","ee_3","rylhyCva7",0,0,133,301
"52","ee_3","B1c1RTP67",0,1,34,81
"53","ee_3","SkrzcpvTX",0,1,36,317
"54","ee_3","HylsHAPTX",0,0,33,283
"55","ee_3","SJY_Faw6X",0,2,56,342
