deployment,exp_id,val_id,game_name,game_number,message,passed_count,chain,generation,received_messages,received_from_id,edit_distance
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game!,1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,preconditions_v1,1,The goal is to get the yellow squares. Get all the white squares for protection from the green.,1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.,1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! ,1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,relational_v1,4,"You are the white square, try pushing the blocks around to find the goal of the game.",1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,sokoban_v1,5,The goal is to get the light green squares into the red squares.,1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,lemmings_var2_v1,6,You can use the spacebar but I'm not sure what the goal of the game is. sorry!,1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,zelda_v1,7,Avoid the pink squares!,1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,plaqueattack_v1,8,"Avoid the orange squares, you will lose points!",1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,avoid_george_v1,9,Use the spacebar and avoid the beige square.,1,Bkh-iyIgu,0,null,,-1
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,1,Bkh-iyIgu,1,"[""Get all the green squares as fast as you can to win the game!""]",Bkh-iyIgu,41
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,preconditions_v1,1,The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.,1,Bkh-iyIgu,1,"[""The goal is to get the yellow squares. Get all the white squares for protection from the green.""]",Bkh-iyIgu,39
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,1,Bkh-iyIgu,1,"[""The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.""]",Bkh-iyIgu,47
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,1,Bkh-iyIgu,1,"[""Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! ""]",Bkh-iyIgu,58
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,relational_v1,4,"You are the white square, try pushing the blocks around to find the goal of the game.",1,Bkh-iyIgu,1,"[""You are the white square, try pushing the blocks around to find the goal of the game.""]",Bkh-iyIgu,0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,sokoban_v1,5,The goal is to get the light green squares into the red squares.,1,Bkh-iyIgu,1,"[""The goal is to get the light green squares into the red squares.""]",Bkh-iyIgu,0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,lemmings_var2_v1,6,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,1,Bkh-iyIgu,1,"[""You can use the spacebar but I'm not sure what the goal of the game is. sorry!""]",Bkh-iyIgu,73
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,zelda_v1,7,Avoid the pink squares! Try to get to the green square.,1,Bkh-iyIgu,1,"[""Avoid the pink squares!""]",Bkh-iyIgu,32
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,plaqueattack_v1,8,"Avoid the orange squares, you will lose points!",1,Bkh-iyIgu,1,"[""Avoid the orange squares, you will lose points!""]",Bkh-iyIgu,0
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,avoid_george_v1,9,Use the spacebar to turn the purple squares back to green and avoid the beige square.,1,Bkh-iyIgu,1,"[""Use the spacebar and avoid the beige square.""]",Bkh-iyIgu,41
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,1,Bkh-iyIgu,2,"[""Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.""]",r14aNl8eO,0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,preconditions_v1,1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",1,Bkh-iyIgu,2,"[""The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.""]",r14aNl8eO,93
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,1,Bkh-iyIgu,2,"[""The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.""]",r14aNl8eO,0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,1,Bkh-iyIgu,2,"[""Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.""]",r14aNl8eO,13
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,relational_v1,4,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",1,Bkh-iyIgu,2,"[""You are the white square, try pushing the blocks around to find the goal of the game.""]",r14aNl8eO,70
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,sokoban_v1,5,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,1,Bkh-iyIgu,2,"[""The goal is to get the light green squares into the red squares.""]",r14aNl8eO,86
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,lemmings_var2_v1,6,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,1,Bkh-iyIgu,2,"[""You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.""]",r14aNl8eO,0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,zelda_v1,7,Avoid the moving pink squares! Try to get to the green square without them hitting you.,1,Bkh-iyIgu,2,"[""Avoid the pink squares! Try to get to the green square.""]",r14aNl8eO,32
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,plaqueattack_v1,8,"Avoid the orange squares, you will lose points!",1,Bkh-iyIgu,2,"[""Avoid the orange squares, you will lose points!""]",r14aNl8eO,0
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,avoid_george_v1,9,Use the spacebar to turn the purple squares back to green and avoid the beige square.,1,Bkh-iyIgu,2,"[""Use the spacebar to turn the purple squares back to green and avoid the beige square.""]",r14aNl8eO,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,1,Bkh-iyIgu,3,"[""Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,preconditions_v1,1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.",1,Bkh-iyIgu,3,"[""The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,1,Bkh-iyIgu,3,"[""The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,1,Bkh-iyIgu,3,"[""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,relational_v1,4,"You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ",1,Bkh-iyIgu,3,"[""You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,sokoban_v1,5,The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.,1,Bkh-iyIgu,3,"[""The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,lemmings_var2_v1,6,You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.,1,Bkh-iyIgu,3,"[""You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,zelda_v1,7,Avoid the moving pink squares! Try to get to the green square without them hitting you.,1,Bkh-iyIgu,3,"[""Avoid the moving pink squares! Try to get to the green square without them hitting you.""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,plaqueattack_v1,8,"Avoid the orange squares, you will lose points!",1,Bkh-iyIgu,3,"[""Avoid the orange squares, you will lose points!""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,avoid_george_v1,9,Use the spacebar to turn the purple squares back to green and avoid the beige square.,1,Bkh-iyIgu,3,"[""Use the spacebar to turn the purple squares back to green and avoid the beige square.""]",B1aSGZ8ed,0
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :),1,Bkh-iyIgu,4,"[""Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.""]",SkvhnGUxO,28
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,preconditions_v1,1,"The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!",1,Bkh-iyIgu,4,"[""The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.""]",SkvhnGUxO,102
