deployment,exp_id,val_id,game_name,game_number,message,passed_count,chain,generation,received_messages,received_from_id,edit_distance,diff_list,diff_del_count,diff_add_count,diff_unchanged_count
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,explore_exploit_v1,0,Get all the green squares as fast as you can to win the game!,1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,preconditions_v1,1,The goal is to get the yellow squares. Get all the white squares for protection from the green.,1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,push_boulders_v1,2,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.,1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,watergame_v1,3,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! ,1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,relational_v1,4,"You are the white square, try pushing the blocks around to find the goal of the game.",1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,sokoban_v1,5,The goal is to get the light green squares into the red squares.,1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,lemmings_var2_v1,6,You can use the spacebar but I'm not sure what the goal of the game is. sorry!,1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,zelda_v1,7,Avoid the pink squares!,1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,plaqueattack_v1,8,"Avoid the orange squares, you will lose points!",1,Bkh-iyIgu,0,,,-1,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,avoid_george_v1,9,Use the spacebar and avoid the beige square.,1,Bkh-iyIgu,0,,,-1,,,,
