deployment,chain,game_number,game_name,message
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,explore_exploit_v1,"['Get all the green squares as fast as you can to win the game!', 'Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.', 'Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.', 'Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.', 'Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :)', ""Remember to use your arrows. Tap the arrows, holding them down won't move you. Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. This is very good advice :)"", ""Remember to use your arrows. Tap the arrows, holding them down won't move you. Get all the green squares as fast as you can to win the game! Light orange moves on to the next level. the more you get the colors, the higher your accumulative scores This is very good advice :)"", ""Remember to use your arrow keys. Tap the arrows, as holding them down won't move you. Get all the green squares as fast as you can to win the game! If you can't collect all of the green squares, collect the other (red-orange) squares. Light orange moves on to the next level. The more you get the colors, the higher your cumulative score gets.""]"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,preconditions_v1,"['The goal is to get the yellow squares. Get all the white squares for protection from the green.', 'The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.', 'The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.', 'The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square.', 'The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!', 'The goal is to get the yellow squares. Get as many of the white squares for protection as you need to access the yellow square. One white square for protection from one green square. You can stack more than one white square as well, to get through more than one green square. Be careful to stay away from the green squares unless you really have to - they will cost you a life!', 'The goal is to get the yellow squares. Get as many of the white squares for protection as you need to access the yellow square. One white square for protection from one green square. You can stack more than one white square as well, to get through more than one green square. avoid green squares unless you really have to - they will cost you a life!', 'The goal is to get the yellow squares. Get as many of the white squares for protection as you need to access the yellow square. One white square for protection from one green square. You can stack more than one white square as well, to get through more than one green square. avoid green squares unless you really have to -- they will cost you a life!']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,2,push_boulders_v1,"['The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.', 'The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.', 'The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.', 'The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.', 'The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move. Look at where you want to go before you make your move.', ""The goal is to get the yellow block. Watch out for the red blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move, don't get yourself stuck behind a green square. Look at where you want to go before you make your move."", ""The goal is to get the yellow block. Watch out for the red blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move, don't get yourself stuck behind a green square. Look at where you want to go before you make your move. avoid red balls at all cost"", ""The goal is to get the yellow block. Watch out for the red blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move, don't get yourself stuck behind a green square. Look at where you want to go before you make your move. Avoid red blocks at all cost""]"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,3,watergame_v1,"['Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! ', ""Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other."", ""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other."", ""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other."", ""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other. Figure out your route before you start."", ""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other, otherwise you'll become stuck. Figure out your route before you start."", ""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other, otherwise you'll become stuck. make sure to Figure out your route before you start."", ""Try to get the brown square but watch out for the turquoise squares (light blue)! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other, otherwise you'll become stuck. make sure to figure out your route before you start.""]"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,4,relational_v1,"['You are the white square, try pushing the blocks around to find the goal of the game.', 'You are the white square, try pushing the blocks around to find the goal of the game.', 'You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ', 'You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. ', ""You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares."", ""You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. If you can find the purple squares, good for you as I didn't have any purple squares. This game seems to be missing the purple squares. "", 'You are the white square, move the orange blocks onto the purple squares. And then move the blue squares on top of that to win. there are no purple squares. ', 'You are the white square. Move the blue blocks on to the yellow squares to win. If there are no yellow squares, push an orange square onto a purple square. If there are pink squares, push it so it will become an orange square. If there are no pink OR orange squares, move against the blocks to turn them into yellow squares.']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,5,sokoban_v1,"['The goal is to get the light green squares into the red squares.', 'The goal is to get the light green squares into the red squares.', 'The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.', 'The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked.', ""The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares."", ""The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares. This is good advice!"", ""The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares.  push all green boxes to the red box below This is good advice!"", ""The goal is to get the light green squares into the red squares. You can go through the red squares freely without losing the game or getting blocked. Plan your route before you start and don't block the green squares. Push all of the green boxes to the most accessible square.""]"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,6,lemmings_var2_v1,"[""You can use the spacebar but I'm not sure what the goal of the game is. sorry!"", 'You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.', 'You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.', 'You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible.', 'You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square.', 'You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square. Try to break down as many grey squares as quickly as possible. ', 'You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square. ensure to break down as many grey squares as quickly as possible. ', 'You can use the spacebar to break down the grey squares. Let the red squares reach the green square in as few moves as possible. Try to make it as easy as possible for the red squares to reach the green square. ensure to break down as many grey squares as quickly as possible. Avoid the light-blue squares.']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,7,zelda_v1,"['Avoid the pink squares!', 'Avoid the pink squares! Try to get to the green square.', 'Avoid the moving pink squares! Try to get to the green square without them hitting you.', 'Avoid the moving pink squares! Try to get to the green square without them hitting you.', ""Avoid the moving pink squares! Try to get to the green square without them hitting you. You may have to get to the orange square as well. I don't really know to be honest."", 'Avoid any moving squares! Try to get to the green square and red square without them hitting you. ', 'Avoid all the  moving squares! Try to get to the green square and red square without them hitting you. ', 'Avoid all the  moving squares! Try to get to the green square and red square without them hitting you.  ']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,8,plaqueattack_v1,"['Avoid the orange squares, you will lose points!', 'Avoid the orange squares, you will lose points!', 'Avoid the orange squares, you will lose points!', 'Avoid the orange squares, you will lose points!', 'Avoid the orange squares, you will lose points! Just that!', 'Avoid the orange squares, you will lose points! Just that!', 'Avoid the orange squares, you will lose points! Just that!', 'Do not let the orange squares (purple spawner) hit the yellow squares, and the brown squares (pink spawner) to hit the red squares. Having all targets hit will make you lose a life. Press space to shoot bullets at the orange and brown squares to prevent them from going where they want to go.']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,9,avoid_george_v1,"['Use the spacebar and avoid the beige square.', 'Use the spacebar to turn the purple squares back to green and avoid the beige square.', 'Use the spacebar to turn the purple squares back to green and avoid the beige square.', 'Use the spacebar to turn the purple squares back to green and avoid the beige square.', 'Use the spacebar to turn the purple squares back to green and avoid the beige square.', 'Use the spacebar to turn the purple squares back to green and avoid the beige square.', 'Use the spacebar to turn the purple squares back to green and avoid the beige square. you need to be fast about it', 'Use the spacebar to turn the purple squares back to green and avoid the beige square. you need to be fast about it.']"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,0,explore_exploit_v1,"['It seems that light blue blocks are impassable, go for green blocks first.', 'It seems that light blue blocks are impassable, go for green blocks first. The game ends once you collect every block of a certain colour.', 'The game ends once you collect every block of a certain colour. It seems that light blue blocks are impassable so go for green blocks first or any other color with the least amount of blocks to collect. ', 'The game ends once you collect every block of a certain colour. It seems that light blue blocks are impassable so go for green blocks first or any other color with the least amount of blocks to collect. ', 'The game ends once you collect every block of a certain color. It seems that light blue blocks are impassable so go for green blocks first or any other color with the least amount of blocks to collect. ', 'The game ends once you collect every block of a certain color. It seems that light blue blocks are impassable, so go for any other color with the least amount of blocks to collect. ', 'The game ends once you collect every block of a certain color. Collect the color with least number of blocks (except avoid sky blue)', 'The game ends once you collect every block of a certain color. Collect the color with least number of blocks (except avoid sky blue)', ""The game ends once you collect every block of a certain color. Generally you should collect the color with least number of blocks (except avoid sky blue). If there are an equal amount of each color's blocks, collect the color you have not collected yet.""]"
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,1,preconditions_v1,"['Green blocks will end life.', 'Green blocks will end life. Yellow block ends the game,white blocks add to your health, and red blocks are a distraction that waste your life.', 'Go for the yellow block to win the level. Green blocks will end your life so use white blocks to add to your health to pass through green blocks. Red blocks are a distraction that waste your life. ', 'Go for the yellow block to win the level. Green blocks will end your life so use white blocks to add to your health to pass through green blocks. Red blocks are a distraction that waste your life. ', 'Go for the yellow block to win the level. Green blocks will end your life so use white blocks to add to your health to pass through green blocks. Red blocks are a distraction that waste your life. Got one white box in second round and tried to go through green box to get to the yellow one, but failed both times.', 'Go for the yellow block to win the level. Green blocks will end your life so use white blocks to add to your health to pass through green blocks. Red blocks are a distraction that waste your life. Sometimes the white blocks are difficult to see, and sometimes you’ll need to use a white block to go thru green blocks to get more white blocks.', 'Go for the yellow block to win the level. Green blocks will end your life so use white blocks to add to your health to pass through green blocks. Red blocks are a distraction that waste your life. Sometimes the white blocks are difficult to see, and sometimes you’ll need to use a white block to go thru green blocks to get more white blocks.', 'Go for the yellow block to win the level. Green blocks will end your life so use white blocks to add to your health to pass through green blocks. Red blocks are a distraction that waste your life. Sometimes the white blocks are difficult to see, and sometimes you’ll need to use a white block to go thru green blocks to get more white blocks.', 'Your goal is to grab the yellow block. White blocks provide 1 health, while green blocks take 1 health away. You must have at least 1 health to pass through a green block otherwise you lose. You will need to use a white block to go thru green blocks to get more white blocks. Ignore red blocks.']"
