deployment,chain,generation,exp_id,game_number,game_name,message,edit_distance,sentence,sentence_number,sentence_is_duplicate
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game!,-1,Get all the green squares as fast as you can to win the game!,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,1,preconditions_v1,The goal is to get the yellow squares. Get all the white squares for protection from the green.,-1,The goal is to get the yellow squares.,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,1,preconditions_v1,The goal is to get the yellow squares. Get all the white squares for protection from the green.,-1,Get all the white squares for protection from the green.,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.,-1,The goal is to get the yellow block.,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.,-1,Watch out for the orange blocks.,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them.,-1,You can use the green blocks to protect yourself by pushing them.,2,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! ,-1,Try to get the brown square but watch out for the turquoise squares!,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! ,-1,You can push the blue squares around to protect you!,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,4,relational_v1,"You are the white square, try pushing the blocks around to find the goal of the game.",-1,"You are the white square, try pushing the blocks around to find the goal of the game.",0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,5,sokoban_v1,The goal is to get the light green squares into the red squares.,-1,The goal is to get the light green squares into the red squares.,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,6,lemmings_var2_v1,You can use the spacebar but I'm not sure what the goal of the game is. sorry!,-1,You can use the spacebar but I'm not sure what the goal of the game is.,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,6,lemmings_var2_v1,You can use the spacebar but I'm not sure what the goal of the game is. sorry!,-1,sorry!,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,7,zelda_v1,Avoid the pink squares!,-1,Avoid the pink squares!,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,8,plaqueattack_v1,"Avoid the orange squares, you will lose points!",-1,"Avoid the orange squares, you will lose points!",0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,0,Bkh-iyIgu,9,avoid_george_v1,Use the spacebar and avoid the beige square.,-1,Use the spacebar and avoid the beige square.,0,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,41,Get all the green squares as fast as you can to win the game!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,0,explore_exploit_v1,Get all the green squares as fast as you can to win the game! Light orange moves on to the next level.,41,Light orange moves on to the next level.,1,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,1,preconditions_v1,The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.,39,The goal is to get the yellow squares.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,1,preconditions_v1,The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.,39,Get all the white squares for protection from the green.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,1,preconditions_v1,The goal is to get the yellow squares. Get all the white squares for protection from the green. One white square for one green square.,39,One white square for one green square.,2,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,47,The goal is to get the yellow block.,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,47,Watch out for the orange blocks.,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,47,You can use the green blocks to protect yourself by pushing them.,2,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,2,push_boulders_v1,The goal is to get the yellow block. Watch out for the orange blocks. You can use the green blocks to protect yourself by pushing them. Make sure the green squares have room to move.,47,Make sure the green squares have room to move.,3,False
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,58,Try to get the brown square but watch out for the turquoise squares!,0,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,58,You can push the blue squares around to protect you!,1,True
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,1,r14aNl8eO,3,watergame_v1,Try to get the brown square but watch out for the turquoise squares! You can push the blue squares around to protect you! Don't block the blue squares with the walls or each other.,58,Don't block the blue squares with the walls or each other.,2,False
