deployment,exp_id,val_id,understand,age,sex,education,languages,enjoyment,problems,fairprice,comments,previous_experience,received_from_id,chain,generation,game_order,game_scores,passed_count,dead_end
COGSCI21-LIVINGDOC-ITER-FR-1,Bkh-iyIgu,H1lnZsk8x_,yes,32.0,female,graduated_college,english,2,no,$5.25,,no,,Bkh-iyIgu,0,"[""explore_exploit_v1"", ""preconditions_v1"", ""push_boulders_v1"", ""watergame_v1"", ""relational_v1"", ""sokoban_v1"", ""lemmings_var2_v1"", ""zelda_v1"", ""plaqueattack_v1"", ""avoid_george_v1""]","[Decimal('347'), Decimal('20'), Decimal('20'), Decimal('0'), Decimal('21'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,r14aNl8eO,HylVpVeUeu,yes,27.0,female,graduated_college,"English, FIlipino",2,Nothing I noticed.,$5.00,"Could use some more contrast in the colours, but this was such a fun experiment!",A few arcade games and apps.,Bkh-iyIgu,Bkh-iyIgu,1,"[""explore_exploit_v1"", ""preconditions_v1"", ""push_boulders_v1"", ""watergame_v1"", ""relational_v1"", ""sokoban_v1"", ""lemmings_var2_v1"", ""zelda_v1"", ""plaqueattack_v1"", ""avoid_george_v1""]","[Decimal('362'), Decimal('50'), Decimal('10'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('40'), Decimal('0'), Decimal('0'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,B1aSGZ8ed,rygpSM-Ieu,yes,38.0,male,graduated_high_school,English,1,No,$5.25,,No,r14aNl8eO,Bkh-iyIgu,2,"[""explore_exploit_v1"", ""preconditions_v1"", ""push_boulders_v1"", ""watergame_v1"", ""relational_v1"", ""sokoban_v1"", ""lemmings_var2_v1"", ""zelda_v1"", ""plaqueattack_v1"", ""avoid_george_v1""]","[Decimal('370'), Decimal('50'), Decimal('40'), Decimal('30'), Decimal('131'), Decimal('256'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,SkvhnGUxO,rJgv2hGUgd,yes,38.0,male,some_college,English,1,no,$5.00,thanks,A long time ago,B1aSGZ8ed,Bkh-iyIgu,3,"[""explore_exploit_v1"", ""preconditions_v1"", ""push_boulders_v1"", ""watergame_v1"", ""relational_v1"", ""sokoban_v1"", ""lemmings_var2_v1"", ""zelda_v1"", ""plaqueattack_v1"", ""avoid_george_v1""]","[Decimal('363'), Decimal('50'), Decimal('30'), Decimal('15'), Decimal('0'), Decimal('0'), Decimal('31'), Decimal('0'), Decimal('0'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,Byza-lPlO,SkgGTZgwxu,yes,59.0,female,higher_degree,English,2,No,$6.00,,No,SkvhnGUxO,Bkh-iyIgu,4,"[""explore_exploit_v1"", ""preconditions_v1"", ""push_boulders_v1"", ""watergame_v1"", ""relational_v1"", ""sokoban_v1"", ""lemmings_var2_v1"", ""zelda_v1"", ""plaqueattack_v1"", ""avoid_george_v1""]","[Decimal('337'), Decimal('40'), Decimal('30'), Decimal('15'), Decimal('0'), Decimal('183'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,r1rLNZPxO,BygSIE-Ped,yes,31.0,female,some_college,english,0,Some games were missing colored blocks which were necessary to win.,$10.00,,no,Byza-lPlO,Bkh-iyIgu,5,"[""explore_exploit_v1"", ""preconditions_v1"", ""push_boulders_v1"", ""watergame_v1"", ""relational_v1"", ""sokoban_v1"", ""lemmings_var2_v1"", ""zelda_v1"", ""plaqueattack_v1"", ""avoid_george_v1""]","[Decimal('363'), Decimal('50'), Decimal('20'), Decimal('15'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('11'), Decimal('0'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,BkYkm7Dl_,B1gFkX7Dgd,yes,32.0,male,higher_degree,english,1,some colors were not available,$2.00,none,none,r1rLNZPxO,Bkh-iyIgu,6,"[""explore_exploit_v1"", ""preconditions_v1"", ""push_boulders_v1"", ""watergame_v1"", ""relational_v1"", ""sokoban_v1"", ""lemmings_var2_v1"", ""zelda_v1"", ""plaqueattack_v1"", ""avoid_george_v1""]","[Decimal('319'), Decimal('40'), Decimal('20'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('22'), Decimal('0'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,SJiBvVwxO,SkeiHvVDl_,,,,,,,,,,,BkYkm7Dl_,Bkh-iyIgu,7,null,,,returned
COGSCI21-LIVINGDOC-ITER-FR-1,Syn5edDgO,Hyxn5x_Dld,yes,19.0,other,graduated_high_school,English,2,,$8.00,,"No, N/A",BkYkm7Dl_,Bkh-iyIgu,7,"[""explore_exploit_v1"", ""preconditions_v1"", ""push_boulders_v1"", ""watergame_v1"", ""relational_v1"", ""sokoban_v1"", ""lemmings_var2_v1"", ""zelda_v1"", ""plaqueattack_v1"", ""avoid_george_v1""]","[Decimal('361'), Decimal('50'), Decimal('20'), Decimal('15'), Decimal('190'), Decimal('297'), Decimal('17'), Decimal('0'), Decimal('190'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,B1xsun1IgO,,-1.0,,,,,,-$1.00,,,,Bko_3kLg_,0,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('341'), Decimal('10'), Decimal('52'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('225'), Decimal('0'), Decimal('0'), Decimal('0')]",1.0,
