deployment,chain,generation,exp_id,game_number,game_name,message,edit_distance,sentence,sentence_number,dynamics_elicit_label,dynamics_elicit_confidence,dynamics_human_label,dynamics_elicit_aboveThreshold,P(dynamics),P(notDynamics),policy_elicit_label,policy_elicit_confidence,policy_human_label,policy_elicit_aboveThreshold,P(policy),P(notPolicy),abstract_elicit_label,abstract_elicit_confidence,abstract_human_label,abstract_elicit_aboveThreshold,P(abstract),P(concrete),P(ignorance),valence_elicit_label,valence_elicit_confidence,valence_human_label,valence_elicit_aboveThreshold,P(neutral),P(lose),P(win),count_tagAboveThreshold,dynamics_elicitMatchesHuman,policy_elicitMatchesHuman,abstract_elicitMatchesHuman,valence_elicitMatchesHuman
COGSCI21-LIVINGDOC-ITER-FR-1,Bko_3kLg_,0,Bko_3kLg_,3,plaqueattack_v1,"concentrate on the bottom yellow blocks, save them somehow.",-1,"concentrate on the bottom yellow blocks, save them somehow.",0,"dynamics, or how the world works including explanations or affordances",0.5965708604,,False,0.5965708604,0.4034291396,"policy, or what actions to take including strategies or instructions",0.7007912514,,True,0.7007912514,0.2992087486,"abstract, complex, high-level information",0.5381855362,,False,0.5381855362,0.4617467144,6.77e-05,neutral information,0.8727131919,,True,0.8727131919,0.013233671470000001,0.11405313660000001,2.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,r1cnvyIxO,1,rkBGffIld,2,relational_v1,"You can do it!
Your avatar is the white box. Your goal is to push blue boxes into yellow boxes, which makes them both disappear. Doing this with all blue boxes ends the level. If you see red boxes, push them into the darker blue boxes to create a yellow box, then you can push the blue boxes into them. If you see a pink box, pushing it will turn it into a red box. 

You push boxes by moving into them from an adjacent space. The box will stay in front of you and be moved one space in the direction you moved.

Never push a movable box to the outside perimeter of the game field or it will get stuck there, unable to be pushed back inward to combine with the other boxes and finish the level.",15,You can do it!,0,"dynamics, or how the world works including explanations or affordances",0.9209685272,,True,0.9209685272,0.07903147282,"not policy, or what actions to take including strategies or instructions",0.8875355225,,True,0.1124644775,0.8875355225,"concrete, simple, low-level information",0.5627124241,,False,0.1799051659,0.5627124241,0.25738241,neutral information,0.8717457668999999,,True,0.8717457668999999,0.04119735559,0.08705687752,3.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Sy2lokIeO,7,B1GA2BdgO,9,plaqueattack_v1,"You are the dark blue square. Your goal is to prevent the moving squares from reaching your bases (the red and yellow squares respectively).You are able to walk through the moving squares. You can hit space bar to shoot a projectile at the moving squares (the projectile travels in the direction you last moved). If one of your bases turns colors, you can move over it to recapture it. The round ends when all the moving squares are dead. Kill the column and get to the top and attack from behind.",48,Your goal is to prevent the moving squares from reaching your bases (the red and yellow squares respectively).You are able to walk through the moving squares.,1,"dynamics, or how the world works including explanations or affordances",0.8429868712999999,,True,0.8429868712999999,0.1570131287,"not policy, or what actions to take including strategies or instructions",0.6236723859000001,,True,0.3763276141,0.6236723859000001,"abstract, complex, high-level information",0.5186667685999999,,False,0.5186667685999999,0.4813214839,1.17e-05,neutral information,0.548740279,,False,0.548740279,0.08617280575,0.36508691530000004,2.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,HkyrD1Ilu,3,SJRbCbvx_,2,watergame_v1,"You play as the dark blue tile. Light blue tiles can harm you. Purple tiles can be pushed around, however only one can be pushed at a time. Push the purple tiles on the light blue tiles to clear them. The goal is to get to the brown tile.",54,Push the purple tiles on the light blue tiles to clear them.,3,"dynamics, or how the world works including explanations or affordances",0.9001896205,,True,0.9001896205,0.09981037947,"policy, or what actions to take including strategies or instructions",0.7497161998,,True,0.7497161998,0.2502838002,"concrete, simple, low-level information",0.7421964969,,False,0.2577974138,0.7421964969,6.09e-06,neutral information,0.6272359209,,False,0.6272359209,0.1432979944,0.2294660846,2.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,SkYsFy8gu,7,r16XCODeu,4,lemmings_var2_v1,"You are the dark blue square. Clear a path for the red squares to reach the green square. The red squares spawn from the purple square. Use the space bar to break a gray wall to clear a path. You will destroy the square according to the last arrow key you pressed. Each time you press the space bar, you lose one point, so try to clear a path of least resistance. Light blue squares destroy you and the red squares, so try to make paths that avoid them. It is helpful to follow the red squares to see where they are trying to go before clearing. Sometimes they will try to spread out in divergent paths. Let the red squares guide you. If a red square is stuck waiting too long you will lose.",450,You will destroy the square according to the last arrow key you pressed.,4,"dynamics, or how the world works including explanations or affordances",0.8324477369,,True,0.8324477369,0.16755226310000002,"not policy, or what actions to take including strategies or instructions",0.6874242926,,True,0.31257570739999996,0.6874242926,"concrete, simple, low-level information",0.7115606542,,False,0.28841866780000003,0.7115606542,2.07e-05,neutral information,0.7991734878,,False,0.7991734878,0.047247154189999994,0.153579358,2.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Hy3bTyUeu,4,r1fak4Il_,4,plaqueattack_v1,"Squares will crawl from the top and bottom and can move in all four directions. Shoot them like Space Invaders with the spacebar. You must defend the yellow squares. If the enemy touches them, they will turn green. When all yellow squares turn green, you lose. When you enter a green square, it will turn yellow again. You will lose once time is up or the yellow squares all turn green. Do not touch blue squares.",127,"If the enemy touches them, they will turn green.",3,"dynamics, or how the world works including explanations or affordances",0.8855272777,,True,0.8855272777,0.11447272230000001,"not policy, or what actions to take including strategies or instructions",0.7872834784,,True,0.2127165216,0.7872834784,"concrete, simple, low-level information",0.7767046916,,True,0.22327919100000002,0.7767046916,1.6100000000000002e-05,neutral information,0.8040243075,,False,0.8040243075,0.1826813982,0.01329429428,3.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,Hy3bTyUeu,0,Hy3bTyUeu,5,lemmings_var2_v1,Don't touch the light blue squares or you die. That's all I know. The other non moving squares don't do anything.,-1,The other non moving squares don't do anything.,2,"dynamics, or how the world works including explanations or affordances",0.8315214832,,True,0.8315214832,0.1684785168,"not policy, or what actions to take including strategies or instructions",0.6272682785,,True,0.3727317215,0.6272682785,"concrete, simple, low-level information",0.6308833453,,False,0.36904392420000004,0.6308833453,7.269999999999999e-05,neutral information,0.7030924502,,False,0.7030924502,0.25938941649999997,0.03751813332,2.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,HkyrD1Ilu,6,Byb_kuveO,0,explore_exploit_v1,"You play as the dark blue cube. Collect all of the green cubes you can to win. You may also need to collect the light orange cubes to end the level. Ignore cubes of other colors. There may be a scenario where you might not be able to get the green cube, ignore that and go for the light orange cube. ",122,"There may be a scenario where you might not be able to get the green cube, ignore that and go for the light orange cube.",4,"dynamics, or how the world works including explanations or affordances",0.8487056568000001,,True,0.8487056568000001,0.15129434320000001,"policy, or what actions to take including strategies or instructions",0.5493941512,,False,0.5493941512,0.45060584880000004,"abstract, complex, high-level information",0.7321321853,,False,0.7321321853,0.267859398,8.42e-06,neutral information,0.40253617270000003,,False,0.40253617270000003,0.2989626691,0.2985011582,1.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,SkYsFy8gu,2,ryfi2zLld,8,plaqueattack_v1,Use the arrow keys to move around. Use the spacebar to shoot pellets at the moving red blocks in order to protect the yellow blocks behind you from turning green. You can safely touch the red blocks.,65,Use the spacebar to shoot pellets at the moving red blocks in order to protect the yellow blocks behind you from turning green.,1,"dynamics, or how the world works including explanations or affordances",0.6413052260000001,,False,0.6413052260000001,0.358694774,"policy, or what actions to take including strategies or instructions",0.7743484638,,True,0.7743484638,0.2256515362,"concrete, simple, low-level information",0.7904337309999999,,True,0.2095615857,0.7904337309999999,4.68e-06,neutral information,0.7957448776,,False,0.7957448776,0.03285898354,0.1713961389,2.0,,,,
COGSCI21-LIVINGDOC-ITER-FR-1,rJRAEgIeO,3,rkwQoOwe_,5,sokoban_v1,"The goal of the game is to use the blue square to push the green squares into the red spaces. In Level 1, ignore the top right red square. It is impossible to push any green squares into it. Make sure you don't push the green squares against any spaces/walls where you can no longer get them out. I recommend planning your moves out before pressing start.",250,Make sure you don't push the green squares against any spaces/walls where you can no longer get them out.,3,"dynamics, or how the world works including explanations or affordances",0.9361206159000001,,True,0.9361206159000001,0.06387938407,"policy, or what actions to take including strategies or instructions",0.7387014646,,True,0.7387014646,0.2612985354,"abstract, complex, high-level information",0.5144168455,,False,0.5144168455,0.48557645409999994,6.7e-06,neutral information,0.6447191593,,False,0.6447191593,0.310754801,0.04452603971,2.0,,,,
